years_baby,housework_fem_daily,housework_mal_daily,marketwork_fem_daily,marketwork_mal_daily
-15,.29313111,.26381797,2.3743618,2.442759
-14,3.3853271,10.112603,5.8623929,2.4247012
-13,7.8573408,.31874433,4.203383,5.1478653
-12,4.5429716,4.7052131,4.5055847,6.6207428
-11,2.206435,1.8685255,5.0995927,6.0214486
-10,3.5895684,2.679342,6.2619934,5.8743477
-9,3.2354,2.8173664,5.6268921,6.4664044
-8,2.7789714,2.3602087,4.6111565,5.9990807
-7,3.1613801,2.1255209,5.6758571,6.8842778
-6,2.8810573,2.0603554,5.4271274,6.824018
-5,2.8715329,2.045851,5.399024,6.9583178
-4,2.6935611,2.1154058,5.4772062,6.8695197
-3,3.1445861,2.1139467,5.4327154,6.9834719
-2,3.4648652,2.3576646,5.0983124,6.7382593
-1,4.1540995,2.6538069,4.3010569,6.8678894
0,10.340913,4.1494927,1.4217316,6.7933612
1,9.7062283,4.5378022,2.3612313,6.8404746
2,9.838212,4.4757175,2.2304711,6.8766241
3,9.8446951,4.5704803,2.4922347,6.9719291
4,9.3226557,4.4659891,2.5970917,6.8999977
5,9.1268206,4.2876444,2.5693603,7.0348115
6,8.5935392,4.2205958,2.8848388,6.9505372
7,8.3671513,4.1881628,2.9517448,6.953927
8,8.1568794,4.0111251,2.9500737,6.9120646
9,7.8245478,3.9677846,3.284385,6.990273
10,7.512352,3.8986475,3.4466484,6.8858604
11,6.9121923,3.7787063,3.5265763,6.9184537
12,7.100544,3.6198146,3.7278419,6.9989648
13,6.8004289,3.4839151,3.9459097,7.241529
14,6.5197821,3.5110912,4.4241796,7.1727371
15,6.179101,3.3091645,4.1693692,7.0883856
,4.515286,2.6458943,3.9959934,6.2589002
